experiment,epoch,image_index,ground_truth,center_prediction,center_confidence,center_correct,lambda_min,lambda_max,anisotropy,mean_magnitude_cosine_distance,max_magnitude_cosine_distance,mean_signed_cosine_distance,max_signed_cosine_distance,prediction_stability
sgd_nesterov,150,0,3,3,0.9292861223220825,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0076013651202662125,0.009675024526856202,0.010603761909958487,0.013354756546232416,1.0
sgd_nesterov,150,1,8,8,0.9956547021865845,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.008118825900387677,0.009691883423357806,0.010459138747547447,0.012192962545744424,1.0
sgd_nesterov,150,2,8,8,0.8074229955673218,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.006716722497194155,0.009978501591309086,0.009003952593803682,0.012888117098919794,1.0
sgd_nesterov,150,3,0,8,0.8440703749656677,0,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.01315142949698811,0.016158115057823164,0.017124572944968497,0.020654935452016687,1.0
sgd_nesterov,150,4,6,6,0.9453420639038086,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.012127561218502947,0.013175814521020568,0.015069293168730902,0.017097635329571426,1.0
sgd_nesterov,150,5,6,6,0.6186829805374146,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.009064470548751868,0.010652868758020073,0.0110816197034255,0.013186685924702846,1.0
sgd_nesterov,150,6,1,1,0.9073359966278076,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.005887839618746976,0.006367431212284558,0.007814538718558361,0.008565572338855354,1.0
sgd_nesterov,150,8,3,3,0.8762011528015137,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.008632204957284562,0.00962170338306123,0.01178020488708506,0.013154478019338334,1.0
sgd_nesterov,150,9,1,9,0.5431092977523804,0,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.006939184422958405,0.00799710863514247,0.008888453400171525,0.010342271452483787,1.0
sgd_nesterov,150,10,0,0,0.8610628843307495,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.00972493646239167,0.012752094655002044,0.013032282765327252,0.01579767523265574,1.0
sgd_nesterov,150,11,9,9,0.996954083442688,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.00726295280868397,0.00821728946245115,0.009095885496482076,0.010871299771476273,1.0
sgd_nesterov,150,12,5,7,0.5288317799568176,0,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.005608258706967295,0.006502088654983584,0.007506355526306574,0.008652215864922264,1.0
sgd_nesterov,150,13,7,7,0.8420771956443787,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.010158258834390477,0.011485647244077524,0.013943118176546643,0.01586496890478295,1.0
sgd_nesterov,150,14,9,9,0.9644408226013184,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.006134584083358735,0.007404824051471692,0.007238557938014062,0.00843658364291855,1.0
sgd_nesterov,150,16,5,5,0.9048601984977722,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.00518496145826014,0.006715856257088815,0.006697478448536909,0.00809358312181796,1.0
