experiment,first_epoch,last_epoch,image_index,signed_cosine,signed_cosine_distance,magnitude_cosine,magnitude_cosine_distance,magnitude_pearson,relative_l1,top_k_overlap
sgd_no_momentum,150,300,0,0.3238322666711998,0.6761677333288002,0.6509195249136218,0.3490804750863782,0.39683546747066106,0.7186506986618042,0.21428571428571427
sgd_no_momentum,150,300,1,0.4320800128280546,0.5679199871719454,0.6232307237773186,0.3767692762226814,0.43434190946817064,0.8991886377334595,0.25925925925925924
sgd_no_momentum,150,300,2,0.5733536402428214,0.4266463597571786,0.7440811944976072,0.25591880550239277,0.5645421614759422,1.2882580757141113,0.24390243902439024
sgd_no_momentum,150,300,3,0.5781499150460858,0.4218500849539142,0.7779990635031805,0.2220009364968195,0.64455496745398,1.8068430423736572,0.29936305732484075
sgd_no_momentum,150,300,4,0.2973690517412072,0.7026309482587928,0.7320808944407696,0.2679191055592304,0.5295663981792894,0.7075124382972717,0.20710059171597633
sgd_no_momentum,150,300,5,0.41554593845015414,0.5844540615498459,0.6703898024784377,0.3296101975215623,0.48183490483806457,0.9567342400550842,0.275
sgd_no_momentum,150,300,6,0.5022086497024357,0.4977913502975643,0.6990616759698786,0.30093832403012144,0.4931716388204522,0.883758544921875,0.24390243902439024
sgd_no_momentum,150,300,8,0.10627573053144956,0.8937242694685504,0.6884232683001066,0.3115767316998934,0.4384816694172372,0.8810829520225525,0.19298245614035087
sgd_no_momentum,150,300,9,0.5480859594907316,0.4519140405092684,0.7430131832004053,0.2569868167995947,0.6195150920304713,0.7953328490257263,0.25153374233128833
sgd_no_momentum,150,300,10,0.23586700909573713,0.7641329909042629,0.6221076744267154,0.37789232557328456,0.4603655864542981,0.8924236297607422,0.2670807453416149
sgd_no_momentum,150,300,11,0.3635224816675921,0.6364775183324078,0.6513132391534028,0.3486867608465972,0.4436120182294173,0.7813543677330017,0.2
sgd_no_momentum,150,300,12,0.48165047177038267,0.5183495282296173,0.7405435468830336,0.2594564531169664,0.53686753941168,0.6303938627243042,0.2215568862275449
sgd_no_momentum,150,300,13,0.260260172686287,0.739739827313713,0.6523270067841606,0.34767299321583944,0.4446956954335332,0.6818978786468506,0.21428571428571427
sgd_no_momentum,150,300,14,0.5712191987671044,0.42878080123289564,0.7283040759842166,0.27169592401578335,0.5952982085387174,0.7255688309669495,0.25925925925925924
sgd_no_momentum,150,300,16,0.08965694760933117,0.9103430523906688,0.6452829022876407,0.35471709771235926,0.40540697465139586,1.6380501985549927,0.2
sgd_no_momentum,150,300,17,0.5608474507933958,0.4391525492066042,0.7587419491123221,0.24125805088767793,0.6011096790232295,0.8697946071624756,0.3161290322580645
sgd_no_momentum,150,300,22,0.24587375893121396,0.754126241068786,0.6328897798553978,0.36711022014460215,0.3783806506532191,1.8478742837905884,0.13333333333333333
sgd_no_momentum,150,300,25,0.5905766777409758,0.4094233222590242,0.7967653198512747,0.20323468014872526,0.7010678281836127,0.880403459072113,0.34210526315789475
sgd_no_momentum,150,300,26,0.3875802267234988,0.6124197732765012,0.6941535327547695,0.30584646724523046,0.5451740667369092,2.9093379974365234,0.3161290322580645
sgd_no_momentum,150,300,35,0.274711460835158,0.725288539164842,0.6380513190407968,0.3619486809592032,0.379235511302127,0.7142536640167236,0.13966480446927373
