experiment,epoch,image_index,ground_truth,target,landscape_split,bn_mode,n_steps,perturbation,epsilon_alpha,epsilon_beta,lambda_min,lambda_max,anisotropy,center_prediction,center_confidence,center_target_probability,perturbed_prediction,perturbed_confidence,perturbed_target_probability,prediction_unchanged,center_correct,perturbed_correct,center_ig_delta,perturbed_ig_delta,signed_cosine,signed_cosine_distance,magnitude_cosine,magnitude_cosine_distance,magnitude_pearson,relative_l1,top_k_overlap
sgd_no_momentum,150,0,3,3,test_Z,match_landscape,50,plus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,3,0.9850342869758606,0.9850342869758606,3,0.9851078391075134,0.9851078391075134,1,1,1,-0.0058612823486328125,-0.017077922821044922,0.9413742418162143,0.05862575818378568,0.9557466675981096,0.044253332401890444,0.9261328117074893,0.2906000316143036,0.6585365853658537
sgd_no_momentum,150,0,3,3,test_Z,match_landscape,50,minus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,3,0.9850342869758606,0.9850342869758606,3,0.9839996695518494,0.9839996695518494,1,1,1,-0.0058612823486328125,0.16232538223266602,0.9506759729867066,0.049324027013293414,0.9644939558613573,0.03550604413864267,0.9402402953130405,0.2922344505786896,0.632
sgd_no_momentum,150,0,3,3,test_Z,match_landscape,50,plus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,3,0.9850342869758606,0.9850342869758606,3,0.9793180227279663,0.9793180227279663,1,1,1,-0.0058612823486328125,0.06560993194580078,0.9571423773717801,0.042857622628219905,0.9712752480150003,0.028724751984999686,0.9525707533735032,0.23924465477466583,0.6585365853658537
sgd_no_momentum,150,0,3,3,test_Z,match_landscape,50,minus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,3,0.9850342869758606,0.9850342869758606,3,0.9875160455703735,0.9875160455703735,1,1,1,-0.0058612823486328125,-0.10848236083984375,0.9557243726021184,0.0442756273978816,0.9687426232754822,0.03125737672451778,0.948113527918554,0.2622314691543579,0.6859504132231405
sgd_no_momentum,150,1,8,8,test_Z,match_landscape,50,plus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,8,0.9989356398582458,0.9989356398582458,8,0.9986889958381653,0.9986889958381653,1,1,1,-0.06145668029785156,-0.27709102630615234,0.9196999505081334,0.08030004949186664,0.9443939283525533,0.055606071647446687,0.9089830949706867,0.3033141791820526,0.632
sgd_no_momentum,150,1,8,8,test_Z,match_landscape,50,minus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,8,0.9989356398582458,0.9989356398582458,8,0.9988535642623901,0.9988535642623901,1,1,1,-0.06145668029785156,-0.36397218704223633,0.9458952527067902,0.0541047472932098,0.9637571218925489,0.03624287810745108,0.9426565774766961,0.28767430782318115,0.6585365853658537
sgd_no_momentum,150,1,8,8,test_Z,match_landscape,50,plus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,8,0.9989356398582458,0.9989356398582458,8,0.998689591884613,0.998689591884613,1,1,1,-0.06145668029785156,0.14574813842773438,0.937837187833186,0.06216281216681396,0.9580716203992597,0.04192837960074025,0.9318192864571891,0.27273795008659363,0.6859504132231405
sgd_no_momentum,150,1,8,8,test_Z,match_landscape,50,minus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,8,0.9989356398582458,0.9989356398582458,8,0.9990767240524292,0.9990767240524292,1,1,1,-0.06145668029785156,-0.00495147705078125,0.9437277089238502,0.05627229107614984,0.9574651010429343,0.04253489895706575,0.9302677768971586,0.2815028131008148,0.632
sgd_no_momentum,150,2,8,8,test_Z,match_landscape,50,plus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,8,0.7724525332450867,0.7724525332450867,8,0.7880175709724426,0.7880175709724426,1,1,1,-0.03732633590698242,0.4946634769439697,0.9476485473617673,0.05235145263823271,0.9630391333815485,0.03696086661845155,0.9363472123990807,0.342027485370636,0.6585365853658537
sgd_no_momentum,150,2,8,8,test_Z,match_landscape,50,minus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,8,0.7724525332450867,0.7724525332450867,8,0.752255380153656,0.752255380153656,1,1,1,-0.03732633590698242,0.2565755844116211,0.9350306794230885,0.06496932057691152,0.9500275237885109,0.04997247621148915,0.9115471237804658,0.2896011769771576,0.632
sgd_no_momentum,150,2,8,8,test_Z,match_landscape,50,plus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,8,0.7724525332450867,0.7724525332450867,8,0.7946094274520874,0.7946094274520874,1,1,1,-0.03732633590698242,-0.26760172843933105,0.9398853658417484,0.06011463415825158,0.9586330710402797,0.04136692895972027,0.9272346181972919,0.2678361237049103,0.6190476190476191
sgd_no_momentum,150,2,8,8,test_Z,match_landscape,50,minus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,8,0.7724525332450867,0.7724525332450867,8,0.7080764174461365,0.7080764174461365,1,1,1,-0.03732633590698242,0.12302732467651367,0.9315153803897616,0.06848461961023844,0.948583107034965,0.051416892965035044,0.9106100899367,0.2914245128631592,0.6451612903225806
sgd_no_momentum,150,3,0,0,test_Z,match_landscape,50,plus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,0,0.7310788035392761,0.7310788035392761,0,0.7489604353904724,0.7489604353904724,1,1,1,-0.29205751419067383,0.18388891220092773,0.9474980446055218,0.05250195539447822,0.9601093893470728,0.039890610652927205,0.9391234246822201,0.2787612974643707,0.632
sgd_no_momentum,150,3,0,0,test_Z,match_landscape,50,minus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,0,0.7310788035392761,0.7310788035392761,0,0.667759895324707,0.667759895324707,1,1,1,-0.29205751419067383,-0.27881479263305664,0.9448447709426804,0.05515522905731962,0.9599665932237746,0.040033406776225355,0.9383720506462183,0.27361661195755005,0.6451612903225806
sgd_no_momentum,150,3,0,0,test_Z,match_landscape,50,plus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,0,0.7310788035392761,0.7310788035392761,0,0.773813784122467,0.773813784122467,1,1,1,-0.29205751419067383,-0.1688392162322998,0.9506223320546275,0.04937766794537246,0.9631287853171301,0.03687121468286991,0.9456111117051206,0.28964701294898987,0.6451612903225806
sgd_no_momentum,150,3,0,0,test_Z,match_landscape,50,minus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,0,0.7310788035392761,0.7310788035392761,0,0.6487571001052856,0.6487571001052856,1,1,1,-0.29205751419067383,0.00014734268188476562,0.9526323969512542,0.047367603048745766,0.9658848587962561,0.034115141203743926,0.947285295469737,0.26697829365730286,0.6585365853658537
sgd_no_momentum,150,4,6,6,test_Z,match_landscape,50,plus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,6,0.9917749166488647,0.9917749166488647,6,0.9831377267837524,0.9831377267837524,1,1,1,-0.2270336151123047,-0.4356966018676758,0.9381528470045868,0.06184715299541321,0.9596112609447648,0.04038873905523521,0.9310285132662106,0.2707895040512085,0.5692307692307692
sgd_no_momentum,150,4,6,6,test_Z,match_landscape,50,minus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,6,0.9917749166488647,0.9917749166488647,6,0.9953043460845947,0.9953043460845947,1,1,1,-0.2270336151123047,-0.5347576141357422,0.9417714109430904,0.05822858905690964,0.9590871926840516,0.040912807315948374,0.929841940059508,0.2899450361728668,0.6451612903225806
sgd_no_momentum,150,4,6,6,test_Z,match_landscape,50,plus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,6,0.9917749166488647,0.9917749166488647,6,0.9914576411247253,0.9914576411247253,1,1,1,-0.2270336151123047,0.14536285400390625,0.9504473360507069,0.04955266394929314,0.9684118987361638,0.031588101263836155,0.9454785123627961,0.2380027323961258,0.6451612903225806
sgd_no_momentum,150,4,6,6,test_Z,match_landscape,50,minus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,6,0.9917749166488647,0.9917749166488647,6,0.9910888671875,0.9910888671875,1,1,1,-0.2270336151123047,-0.8100414276123047,0.9583750658322161,0.0416249341677839,0.971395636031524,0.028604363968475988,0.9515989258161851,0.23980571329593658,0.7586206896551724
sgd_no_momentum,150,5,6,6,test_Z,match_landscape,50,plus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,6,0.9908068776130676,0.9908068776130676,6,0.9903669357299805,0.9903669357299805,1,1,1,0.25539112091064453,-0.24030017852783203,0.9109852408086144,0.08901475919138557,0.9328739033547201,0.06712609664527991,0.8813757879771141,0.306060254573822,0.5338345864661654
sgd_no_momentum,150,5,6,6,test_Z,match_landscape,50,minus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,6,0.9908068776130676,0.9908068776130676,6,0.9831264615058899,0.9831264615058899,1,1,1,0.25539112091064453,-0.2595996856689453,0.9340553435693218,0.06594465643067815,0.9558952673180837,0.04410473268191628,0.9234244263769815,0.30141299962997437,0.7435897435897436
sgd_no_momentum,150,5,6,6,test_Z,match_landscape,50,plus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,6,0.9908068776130676,0.9908068776130676,6,0.9841428399085999,0.9841428399085999,1,1,1,0.25539112091064453,-0.014316558837890625,0.934252669261688,0.06574733073831196,0.9538174740565291,0.04618252594347094,0.9180985196261721,0.2681145668029785,0.6859504132231405
sgd_no_momentum,150,5,6,6,test_Z,match_landscape,50,minus_d2,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,6,0.9908068776130676,0.9908068776130676,6,0.9941007494926453,0.9941007494926453,1,1,1,0.25539112091064453,-0.087982177734375,0.9226618667521133,0.07733813324788674,0.9468907296336331,0.05310927036636692,0.9072332237313855,0.3010171949863434,0.6585365853658537
sgd_no_momentum,150,6,1,1,test_Z,match_landscape,50,plus_d1,0.10000000000000009,0.10000000000000009,1.4892469669818396,2.0484973166943017,1.3755255925387975,1,0.787690281867981,0.787690281867981,9,0.655619740486145,0.3365618586540222,0,1,0,-0.13085079193115234,-0.11591148376464844,0.916029610109103,0.083970389890897,0.9461018662781503,0.053898133721849706,0.9115040098485656,0.3562960922718048,0.6585365853658537
